Plot,Subplot,Species,Height,Diameter,Notes
Bear-01,8,CEIN,0.5,0.4,NA
Bear-01,8,CEIN,1.75,0.4,NA
Bear-01,8,CEIN,1.75,0.7,NA
Bear-01,8,CEIN,1.5,0.3,NA
Bear-01,8,CEIN,1,0.4,NA
Bear-01,8,CEIN,1.75,0.5,NA
Bear-01,8,CEIN,1,0.3,NA
Bear-01,8,CEIN,0.5,0.2,NA
Bear-01,8,CEIN,0.75,0.2,NA
Bear-01,8,CEIN,1.5,0.4,NA
Bear-01,8,CEIN,1.5,0.4,NA
Bear-01,8,CEIN,0.75,0.2,NA
Bear-01,8,CEIN,1.25,0.2,NA
Bear-01,8,CEIN,0.75,1,NA
Bear-01,8,CEIN,1.25,0.2,NA
Bear-01,8,CEIN,0.75,0.3,NA
Bear-01,8,CEIN,0.5,0.2,NA
Bear-01,8,UMCA,1.25,0.3,NA
Bear-01,8,UMCA,1,0.6,NA
Bear-01,8,UMCA,2,0.8,NA
Bear-01,8,UMCA,2.25,1.2,NA
Bear-01,8,UMCA,1.75,1.1,NA
Bear-01,8,VAPA,0.5,0.3,NA
Bear-01,8,VAPA,0.75,0.9,NA
Bear-01,8,VAPA,0.75,1.1,NA
Bear-01,8,VAPA,0.75,0.5,NA
Bear-01,8,LIDE3,2,1,NA
Bear-01,8,LIDE3,2.25,1.3,NA
Bear-01,8,LIDE3,0.75,0.4,NA
Bear-01,8,LIDE3,1.75,0.7,NA
Bear-01,8,LIDE3,1,0.4,NA
Bear-01,8,LIDE3,1,0.3,NA
Bear-01,8,LIDE3,1.25,0.6,NA
Bear-01,8,LIDE3,2.25,1.4,NA
Bear-01,8,LIDE3,1,0.4,NA
Bear-01,8,LIDE3,2,0.6,NA
Bear-01,8,LIDE3,0.75,0.5,NA
Bear-01,8,LIDE3,1,0.2,NA
Bear-01,8,TODI,0.75,0.2,NA
Bear-01,8,PSME,0.5,0.3,NA
Bear-01,8,PSME,0.75,0.3,NA
Bear-01,8,PSME,0.75,0.3,NA
Bear-01,8,PSME,1.25,0.4,NA
Bear-01,8,QUCH2,0.75,0.5,NA
Bear-01,8,PIMO,1,0.5,NA
Blue-01,3,PSME,0.5,0.5,NA
Blue-01,3,PSME,0.5,0.3,NA
Blue-01,3,PSME,0.5,0.3,NA
Blue-01,3,PSME,0.75,0.4,NA
Blue-01,3,PSME,0.5,0.3,NA
Blue-01,3,PSME,1.25,0.5,NA
Blue-01,3,PSME,0.5,0.4,NA
Blue-01,3,PSME,0.5,0.3,NA
Blue-01,3,PSME,0.5,0.4,NA
Blue-01,3,PSME,0.5,0.3,NA
Blue-01,3,PSME,0.5,0.4,NA
Blue-01,3,PSME,0.5,0.4,NA
Blue-01,3,PSME,0.5,0.3,NA
Blue-01,3,PSME,0.5,0.4,NA
Blue-01,3,PSME,0.5,0.3,NA
Blue-01,3,PSME,0.5,0.3,NA
Blue-01,3,PSME,0.5,0.4,NA
Blue-01,3,PSME,0.5,0.3,NA
Blue-01,3,PSME,0.5,0.3,NA
Blue-01,3,PSME,0.5,0.3,NA
Blue-01,3,PSME,0.5,0.3,NA
Blue-01,3,PSME,0.5,0.2,NA
Blue-01,3,PSME,0.75,0.5,NA
Blue-01,3,PSME,0.5,0.3,NA
Blue-01,3,PSME,0.5,0.3,NA
Blue-01,3,PSME,0.75,0.4,NA
Blue-01,3,PSME,0.5,0.3,NA
Blue-01,3,PSME,1,0.4,NA
Blue-01,3,PSME,0.75,0.4,NA
Blue-01,3,PSME,0.5,0.3,NA
Blue-01,3,PSME,0.5,0.3,NA
Blue-01,3,PSME,0.5,0.3,NA
Blue-01,3,PSME,0.5,0.3,NA
Blue-01,3,PSME,0.75,0.3,NA
Blue-01,3,PSME,0.5,0.3,NA
Blue-01,3,PSME,0.5,0.3,NA
Blue-01,3,PSME,0.5,0.3,NA
Blue-01,3,PSME,0.5,0.3,NA
Blue-01,3,PSME,0.5,0.3,NA
Blue-01,3,PSME,0.5,0.3,NA
Blue-01,3,PSME,0.75,0.5,NA
Blue-01,3,LIDE3,2.25,1.3,NA
Blue-01,3,LIDE3,1.5,1,NA
Blue-01,3,LIDE3,2,2.2,NA
Blue-01,3,LIDE3,2,1,NA
Blue-01,3,LIDE3,1.75,0.7,NA
Blue-01,3,LIDE3,1.5,1,NA
Blue-01,3,SALIX,0.75,0.3,NA
Blue-01,3,ARME,1.5,0.9,NA
Blue-01,3,ARME,0.5,0.4,NA
Blue-01,3,ARME,0.75,0.6,NA
Blue-01,3,CEVE,2.5,2,NA
Blue-01,3,CHCH7,1.75,1.1,NA
Blue-01,3,CHCH7,1.5,0.8,NA
Blue-01,3,CHCH7,1.5,1.5,NA
Blue-01,6,LIDE3,0.5,0.5,NA
Blue-01,6,LIDE3,1.5,1.2,NA
Blue-01,6,LIDE3,2,1.2,NA
Blue-01,6,LIDE3,1.25,0.8,NA
Blue-01,6,LIDE3,0.75,0.5,NA
Blue-01,6,LIDE3,0.75,0.4,NA
Blue-01,6,LIDE3,1.25,0.9,NA
Blue-01,6,LIDE3,1.75,1.1,NA
Blue-01,6,LIDE3,1,0.4,NA
Blue-01,6,LIDE3,0.75,0.4,NA
Blue-01,6,LIDE3,0.75,0.6,NA
Blue-01,6,LIDE3,0.75,0.4,NA
Blue-01,6,LIDE3,0.5,0.2,NA
Blue-01,6,LIDE3,1,0.7,NA
Blue-01,6,LIDE3,1.25,0.8,NA
Blue-01,6,LIDE3,1.75,1.1,NA
Blue-01,6,LIDE3,0.5,0.5,NA
Blue-01,6,LIDE3,1,0.5,NA
Blue-01,6,LIDE3,1.75,1.2,NA
Blue-01,6,LIDE3,0.75,0.5,NA
Blue-01,6,LIDE3,1,1,NA
Blue-01,6,LIDE3,1.25,1.4,NA
Blue-01,6,LIDE3,1.25,1.1,NA
Blue-01,6,LIDE3,0.5,0.5,NA
Blue-01,6,LIDE3,2,1.8,NA
Blue-01,6,LIDE3,1,0.8,NA
Blue-01,6,VAPA,0.75,0.5,NA
Blue-01,8,LIDE3,1,0.7,NA
Blue-01,8,LIDE3,1.25,1.2,NA
Blue-01,8,LIDE3,1.5,0.6,NA
Blue-01,8,LIDE3,1.75,1.4,NA
Blue-01,8,LIDE3,1,0.6,NA
Blue-01,8,LIDE3,1,0.3,NA
Blue-01,8,LIDE3,1.4,1,NA
Blue-01,8,LIDE3,0.9,0.6,NA
Blue-01,8,LIDE3,1.4,1.4,NA
Blue-01,8,LIDE3,1.2,0.6,NA
Blue-01,8,LIDE3,0.9,0.5,NA
Blue-01,8,LIDE3,1.5,1.5,NA
Blue-01,8,LIDE3,1.75,1.7,NA
Blue-01,8,LIDE3,1.2,0.4,NA
Blue-01,8,LIDE3,2,0.5,NA
Blue-01,8,LIDE3,1.75,0.4,NA
Blue-01,8,LIDE3,1.5,1,NA
Blue-01,8,LIDE3,2.25,0.5,NA
Blue-01,8,LIDE3,1,0.6,NA
Blue-01,8,LIDE3,2.25,0.3,NA
Blue-01,8,LIDE3,1.2,0.4,NA
Blue-01,8,LIDE3,1.1,0.3,NA
Blue-01,8,LIDE3,0.9,0.4,NA
Blue-01,8,CEVE,0.5,0.4,NA
Blue-01,8,CEVE,2.5,1.8,NA
Blue-01,8,CEVE,2.5,1.4,NA
Blue-01,8,CEVE,1.6,0.6,NA
Blue-01,8,CEIN,1,0.3,NA
Blue-01,8,CEIN,0.5,0.5,NA
Blue-02,3,CHCH7,1.25,0.4,NA
Blue-02,3,CHCH7,0.5,0.1,NA
Blue-02,3,CHCH7,0.75,0.7,NA
Blue-02,3,CHCH7,0.75,0.6,NA
Blue-02,3,CHCH7,1,0.5,NA
Blue-02,3,CHCH7,1.25,0.6,NA
Blue-02,3,CHCH7,0.5,0.2,NA
Blue-02,3,CEIN,1,0.4,NA
Blue-02,3,CEIN,0.6,0.3,NA
Blue-02,3,CEIN,1.75,1,NA
Blue-02,3,CEIN,0.75,0.3,NA
Blue-02,3,CEIN,0.75,0.2,NA
Blue-02,3,CEIN,0.75,0.2,NA
Blue-02,3,CEIN,1,0.5,NA
Blue-02,3,CEIN,1.5,0.3,NA
Blue-02,3,CEIN,0.5,0.3,NA
Blue-02,3,CEIN,0.75,0.3,NA
Blue-02,3,CEIN,0.75,0.4,NA
Blue-02,3,CEIN,2,0.9,NA
Blue-02,3,CEIN,0.75,0.6,NA
Blue-02,3,CEIN,0.75,0.4,NA
Blue-02,3,CEIN,0.75,0.2,NA
Blue-02,3,CEIN,0.75,0.2,NA
Blue-02,3,CEIN,0.5,0.1,NA
Blue-02,3,CEIN,1.25,0.5,NA
Blue-02,3,CEIN,1,0.3,NA
Blue-02,3,CEIN,0.75,0.5,NA
Blue-02,3,CEIN,2,1,NA
Blue-02,3,CEIN,1.75,0.9,NA
Blue-02,3,CEIN,0.75,0.2,NA
Blue-02,3,CEIN,1.5,1.1,NA
Blue-02,3,CEIN,0.75,0.1,NA
Blue-02,3,CEIN,0.75,0.2,NA
Blue-02,3,CEIN,0.5,0.2,NA
Blue-02,3,CEIN,0.75,0.2,NA
Blue-02,3,CEIN,0.75,0.3,NA
Blue-02,3,CEIN,0.5,0.2,NA
Blue-02,3,CEIN,1,0.5,NA
Blue-02,3,CEIN,1,0.3,NA
Blue-02,3,CEIN,0.5,0.2,NA
Blue-02,3,CEIN,0.5,0.3,NA
Blue-02,3,CEIN,1.5,0.9,NA
Blue-02,3,CEIN,0.75,0.3,NA
Blue-02,3,CEIN,1,0.3,NA
Blue-02,3,CEIN,1,0.3,NA
Blue-02,3,CEIN,1,0.4,NA
Blue-02,3,CEIN,2,0.6,NA
Blue-02,3,CEIN,1.5,0.6,NA
Blue-02,3,CEIN,0.5,0.2,NA
Blue-02,3,CEIN,0.75,0.6,NA
Blue-02,3,CEIN,1,0.4,NA
Blue-02,3,CEIN,1.25,0.3,NA
Blue-02,3,CEIN,1.75,0.8,NA
Blue-02,3,CEIN,0.75,0.3,NA
Blue-02,3,CEIN,1,0.2,NA
Blue-02,3,CEIN,1.25,0.6,NA
Blue-02,3,CEIN,1,0.4,NA
Blue-02,3,CEIN,1.5,0.7,NA
Blue-02,3,CEIN,1,0.5,NA
Blue-02,3,CEIN,1,0.6,NA
Blue-02,3,CEIN,0.75,0.2,NA
Blue-02,3,CEIN,0.5,0.3,NA
Blue-02,3,CEIN,0.5,0.3,NA
Blue-02,3,CEIN,0.5,0.3,NA
Blue-02,3,CEIN,0.75,0.4,NA
Blue-02,3,CEIN,1,0.8,NA
Blue-02,3,CEIN,0.75,0.2,NA
Blue-02,3,CEIN,1,0.2,NA
Blue-02,3,CEIN,1,0.3,NA
Blue-02,3,CEIN,1,0.4,NA
Blue-02,3,CEIN,1.25,1,NA
Blue-02,3,CEIN,1,0.2,NA
Blue-02,3,CEIN,1.25,0.4,NA
Blue-02,3,CEIN,1,0.3,NA
Blue-02,3,CEIN,1.25,0.3,NA
Blue-02,3,CEIN,0.75,0.2,NA
Blue-02,3,CEIN,1.25,0.5,NA
Blue-02,3,CEIN,1.75,0.9,NA
Blue-02,3,CEIN,0.75,0.3,NA
Blue-02,3,CEIN,0.75,0.3,NA
Blue-02,3,CEIN,1.25,0.3,NA
Blue-02,3,CEIN,0.75,0.2,NA
Blue-02,3,ARME,1.25,0.5,NA
Blue-02,3,PREM,0.5,0.2,NA
Blue-02,3,RULE,0.5,0.6,NA
Blue-02,3,RULE,1.5,0.6,NA
Blue-02,3,RULE,1,0.3,NA
Blue-02,3,RULE,1.5,1.3,NA
Blue-02,3,RULE,1,0.2,NA
Blue-02,3,RULE,1,0.2,NA
Blue-02,3,RULE,1,0.7,NA
Blue-02,3,RULE,1.5,0.5,NA
Blue-02,3,RULE,1.25,0.2,NA
Blue-02,3,RULE,1.25,0.3,NA
Blue-02,3,LOHI2,0.5,0.1,NA
Blue-02,3,QUCH2,0.75,0.7,NA
Blue-02,3,QUCH2,0.5,0.6,NA
Blue-02,3,QUCH2,1.25,0.6,NA
Blue-02,3,QUCH2,0.5,0.3,NA
Blue-02,3,LIDE3,0.75,0.6,NA
Blue-02,3,LIDE3,0.5,0.2,NA
Blue-02,3,LIDE3,0.5,0.6,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
Blue-02,3,PSME,0.5,0.3,NA
